id_evento,nombre,fecha,hora,modalidad,visibilidad,detalle
90,anniversary celebration,12/15/2024,10,onsite,private,Conference
91,birthday party,1/5/2025,17,hybrid,friends,Festival
92,birthday party,6/5/2024,7,offline,friends,Birthday Party
93,baby shower,6/7/2024,6,online,public,Conference
94,wedding,4/14/2024,11,onsite,public,Conference
95,baby shower,3/31/2024,12,onsite,public,Conference
96,wedding,10/14/2024,9,offline,custom,Birthday Party
97,wedding,6/20/2024,23,hybrid,private,Concert
98,wedding,12/14/2024,3,onsite,public,Wedding
99,anniversary celebration,8/1/2024,8,hybrid,public,Wedding
100,birthday party,11/29/2024,3,online,private,Conference
101,graduation ceremony,2/11/2025,21,offline,custom,Festival
102,baby shower,9/24/2024,1,online,friends,Concert
103,anniversary celebration,9/19/2024,10,offline,friends,Conference
104,graduation ceremony,8/30/2024,4,hybrid,custom,Concert
105,wedding,11/1/2024,16,onsite,public,Conference
106,anniversary celebration,7/1/2024,18,hybrid,friends,Wedding
107,graduation ceremony,9/4/2024,2,online,private,Wedding
108,baby shower,5/29/2024,6,hybrid,public,Wedding
109,anniversary celebration,1/5/2025,14,onsite,public,Conference
110,wedding,10/22/2024,2,online,private,Conference
111,birthday party,12/5/2024,20,offline,custom,Conference
112,graduation ceremony,10/18/2024,6,onsite,custom,Conference
113,anniversary celebration,1/14/2025,8,onsite,private,Festival
114,graduation ceremony,9/20/2024,9,online,friends,Wedding
115,wedding,10/8/2024,6,onsite,custom,Wedding
116,wedding,7/27/2024,7,offline,public,Wedding
117,wedding,6/11/2024,20,hybrid,custom,Festival
118,birthday party,1/24/2025,2,offline,public,Birthday Party
119,graduation ceremony,6/17/2024,5,online,private,Concert
120,graduation ceremony,6/8/2024,5,onsite,friends,Birthday Party
121,anniversary celebration,10/20/2024,2,onsite,custom,Festival
122,baby shower,11/23/2024,3,online,public,Birthday Party
123,graduation ceremony,1/11/2025,8,hybrid,friends,Wedding
124,graduation ceremony,11/26/2024,5,hybrid,public,Concert
125,birthday party,1/7/2025,21,onsite,public,Festival
126,wedding,11/12/2024,10,onsite,custom,Festival
127,baby shower,7/17/2024,8,onsite,private,Concert
128,wedding,6/24/2024,20,hybrid,private,Festival
129,wedding,6/4/2024,7,online,private,Festival
130,anniversary celebration,8/4/2024,3,onsite,friends,Concert
131,wedding,9/15/2024,11,hybrid,public,Conference
132,anniversary celebration,6/3/2024,6,hybrid,custom,Birthday Party
133,graduation ceremony,3/20/2024,16,hybrid,custom,Festival
134,graduation ceremony,7/2/2024,2,hybrid,friends,Wedding
135,graduation ceremony,7/13/2024,11,onsite,custom,Concert
136,birthday party,4/2/2024,13,online,custom,Conference
137,wedding,1/19/2025,20,offline,public,Festival
138,baby shower,8/27/2024,14,hybrid,public,Wedding
139,graduation ceremony,3/9/2024,7,offline,friends,Festival
140,wedding,6/21/2024,23,onsite,custom,Wedding
141,graduation ceremony,8/12/2024,9,hybrid,friends,Birthday Party
142,graduation ceremony,1/15/2025,3,onsite,public,Birthday Party
143,wedding,8/29/2024,16,online,friends,Conference
144,birthday party,11/4/2024,4,onsite,friends,Birthday Party
145,baby shower,10/4/2024,3,hybrid,private,Festival
146,baby shower,5/21/2024,17,hybrid,public,Conference
147,birthday party,11/7/2024,6,onsite,friends,Birthday Party
148,graduation ceremony,3/31/2024,18,hybrid,custom,Birthday Party
149,baby shower,8/28/2024,20,online,private,Conference
150,anniversary celebration,6/23/2024,21,hybrid,friends,Wedding
151,anniversary celebration,7/13/2024,12,offline,public,Wedding
152,graduation ceremony,7/2/2024,17,online,private,Birthday Party
153,wedding,9/1/2024,14,onsite,public,Birthday Party
154,wedding,3/25/2024,23,hybrid,private,Wedding
155,wedding,12/26/2024,17,hybrid,friends,Concert
156,graduation ceremony,11/2/2024,2,hybrid,public,Birthday Party
157,graduation ceremony,6/24/2024,9,online,private,Concert
158,graduation ceremony,5/19/2024,12,hybrid,custom,Festival
159,anniversary celebration,4/1/2024,21,hybrid,custom,Birthday Party
160,wedding,6/15/2024,8,offline,custom,Wedding
161,anniversary celebration,8/1/2024,2,onsite,custom,Wedding
162,graduation ceremony,2/13/2025,13,onsite,custom,Concert
163,wedding,1/21/2025,6,online,friends,Wedding
164,birthday party,12/30/2024,13,hybrid,public,Festival
165,baby shower,2/14/2025,10,onsite,friends,Conference
166,graduation ceremony,10/12/2024,1,onsite,private,Conference
167,graduation ceremony,9/5/2024,6,onsite,public,Birthday Party
168,baby shower,8/26/2024,23,hybrid,private,Wedding
169,baby shower,11/21/2024,13,hybrid,friends,Festival
170,anniversary celebration,3/23/2024,3,onsite,private,Wedding
171,baby shower,3/20/2024,18,online,public,Conference
172,birthday party,10/24/2024,22,offline,friends,Concert
173,anniversary celebration,7/17/2024,10,hybrid,friends,Concert
174,anniversary celebration,10/29/2024,16,hybrid,custom,Festival
175,anniversary celebration,12/11/2024,0,online,public,Festival
176,birthday party,9/9/2024,12,online,private,Festival
177,graduation ceremony,11/11/2024,3,offline,public,Birthday Party
178,graduation ceremony,5/6/2024,14,hybrid,custom,Festival
179,wedding,5/10/2024,21,online,private,Festival
180,wedding,2/2/2025,15,onsite,public,Birthday Party
181,birthday party,1/3/2025,23,hybrid,private,Concert
182,wedding,9/24/2024,7,hybrid,friends,Conference
183,baby shower,2/12/2025,10,online,private,Festival
184,birthday party,8/10/2024,17,onsite,custom,Wedding
185,anniversary celebration,10/19/2024,0,onsite,friends,Conference
186,wedding,9/5/2024,17,hybrid,public,Birthday Party
187,anniversary celebration,10/10/2024,23,onsite,public,Wedding
188,wedding,7/24/2024,19,offline,custom,Birthday Party
189,anniversary celebration,10/29/2024,1,onsite,private,Birthday Party
190,wedding,12/27/2024,5,hybrid,friends,Birthday Party
191,birthday party,4/30/2024,0,hybrid,private,Wedding
192,graduation ceremony,4/4/2024,5,online,public,Concert
193,wedding,6/30/2024,2,onsite,custom,Wedding
194,graduation ceremony,8/13/2024,13,onsite,private,Wedding
195,wedding,5/18/2024,17,online,friends,Wedding
196,wedding,11/25/2024,22,offline,friends,Festival
197,birthday party,11/23/2024,14,online,private,Concert
198,anniversary celebration,3/15/2024,10,onsite,private,Conference
199,birthday party,1/26/2025,17,online,private,Birthday Party
200,birthday party,9/6/2024,7,hybrid,public,Wedding
201,birthday party,2/2/2025,7,hybrid,public,Festival
202,anniversary celebration,10/28/2024,11,offline,private,Concert
203,wedding,5/13/2024,9,offline,public,Wedding
204,graduation ceremony,3/26/2024,16,onsite,private,Conference
205,baby shower,8/19/2024,22,online,private,Wedding
206,graduation ceremony,10/12/2024,16,hybrid,private,Conference
207,graduation ceremony,4/8/2024,6,online,friends,Concert
208,anniversary celebration,1/19/2025,5,online,public,Birthday Party
209,graduation ceremony,9/26/2024,7,onsite,public,Concert
210,wedding,11/8/2024,12,hybrid,friends,Conference
211,birthday party,6/15/2024,9,hybrid,public,Birthday Party
212,wedding,6/24/2024,11,onsite,private,Birthday Party
213,wedding,10/8/2024,2,offline,public,Birthday Party
214,anniversary celebration,11/17/2024,9,hybrid,public,Concert
215,birthday party,4/24/2024,11,onsite,public,Conference
216,birthday party,12/28/2024,21,onsite,private,Conference
217,anniversary celebration,1/22/2025,23,hybrid,public,Concert
218,wedding,1/20/2025,17,onsite,private,Birthday Party
219,birthday party,8/12/2024,14,offline,public,Wedding
220,wedding,3/12/2024,22,online,private,Festival
221,graduation ceremony,1/21/2025,18,hybrid,private,Conference
222,baby shower,1/22/2025,12,hybrid,friends,Festival
223,graduation ceremony,10/28/2024,0,hybrid,public,Concert
224,wedding,1/24/2025,3,online,friends,Concert
225,graduation ceremony,12/30/2024,23,offline,custom,Concert
226,wedding,7/28/2024,10,hybrid,friends,Festival
227,baby shower,11/21/2024,9,online,custom,Wedding
228,anniversary celebration,11/23/2024,15,onsite,friends,Festival
229,wedding,1/27/2025,1,offline,custom,Wedding
230,graduation ceremony,10/19/2024,21,offline,public,Concert
231,anniversary celebration,4/6/2024,5,hybrid,private,Conference
232,baby shower,6/6/2024,7,online,private,Festival
233,wedding,11/22/2024,2,onsite,friends,Concert
234,graduation ceremony,6/20/2024,22,hybrid,friends,Festival
235,graduation ceremony,8/19/2024,17,onsite,private,Conference
236,baby shower,3/28/2024,21,online,public,Birthday Party
237,anniversary celebration,11/18/2024,21,offline,public,Concert
238,anniversary celebration,2/5/2025,8,hybrid,custom,Conference
239,wedding,8/20/2024,15,onsite,private,Birthday Party
240,baby shower,4/21/2024,22,hybrid,friends,Conference
241,anniversary celebration,5/9/2024,20,hybrid,private,Wedding
242,birthday party,2/26/2024,8,onsite,private,Wedding
243,wedding,2/16/2025,5,hybrid,friends,Wedding
244,baby shower,8/20/2024,11,hybrid,private,Birthday Party
245,graduation ceremony,1/9/2025,10,onsite,public,Wedding
246,birthday party,7/10/2024,13,online,public,Wedding
247,graduation ceremony,6/19/2024,13,offline,custom,Birthday Party
248,birthday party,10/31/2024,21,hybrid,custom,Birthday Party
249,graduation ceremony,10/2/2024,0,online,public,Festival
250,anniversary celebration,11/15/2024,12,online,friends,Conference
251,birthday party,4/3/2024,12,online,friends,Conference
252,baby shower,4/1/2024,3,onsite,public,Festival
253,wedding,2/13/2025,14,onsite,private,Birthday Party
254,birthday party,5/15/2024,15,onsite,custom,Concert
255,wedding,12/17/2024,4,online,public,Concert
256,birthday party,8/14/2024,20,offline,custom,Wedding
257,wedding,10/8/2024,13,hybrid,custom,Wedding
258,baby shower,1/5/2025,3,hybrid,private,Conference
259,baby shower,3/23/2024,9,hybrid,friends,Concert
260,wedding,5/7/2024,3,onsite,private,Conference
261,graduation ceremony,3/15/2024,11,online,public,Birthday Party
262,wedding,7/22/2024,12,onsite,custom,Festival
263,anniversary celebration,12/11/2024,1,hybrid,public,Conference
264,wedding,1/14/2025,16,offline,friends,Wedding
265,anniversary celebration,5/3/2024,9,hybrid,private,Birthday Party
266,baby shower,4/8/2024,14,online,public,Festival
267,birthday party,8/4/2024,16,hybrid,custom,Birthday Party
268,baby shower,7/28/2024,6,onsite,private,Birthday Party
269,baby shower,11/8/2024,18,hybrid,private,Concert
270,baby shower,9/27/2024,17,online,private,Conference
271,wedding,2/2/2025,16,onsite,friends,Concert
272,graduation ceremony,9/7/2024,14,hybrid,public,Festival
273,wedding,8/24/2024,8,hybrid,private,Concert
274,graduation ceremony,2/10/2025,13,offline,public,Concert
275,graduation ceremony,2/23/2025,0,hybrid,public,Birthday Party
276,graduation ceremony,4/8/2024,5,hybrid,public,Wedding
277,birthday party,2/4/2025,21,online,public,Birthday Party
278,baby shower,8/11/2024,16,hybrid,private,Concert
279,graduation ceremony,7/9/2024,17,onsite,private,Festival
280,anniversary celebration,3/19/2024,15,onsite,public,Festival
281,graduation ceremony,11/22/2024,17,online,friends,Concert
282,graduation ceremony,2/26/2024,13,onsite,public,Conference
283,baby shower,6/30/2024,13,hybrid,public,Concert
284,wedding,6/9/2024,8,offline,public,Conference
285,graduation ceremony,8/13/2024,0,offline,friends,Festival
286,anniversary celebration,12/28/2024,6,offline,custom,Concert
287,baby shower,1/22/2025,22,onsite,custom,Concert
288,birthday party,5/30/2024,0,online,custom,Wedding
289,graduation ceremony,8/1/2024,20,onsite,public,Concert
290,baby shower,7/11/2024,8,online,public,Conference
291,baby shower,5/21/2024,10,onsite,public,Birthday Party
292,anniversary celebration,6/26/2024,13,offline,custom,Concert
293,anniversary celebration,8/19/2024,5,onsite,custom,Wedding
294,anniversary celebration,5/21/2024,10,hybrid,custom,Birthday Party
295,wedding,2/28/2024,0,hybrid,public,Birthday Party
296,graduation ceremony,5/13/2024,19,online,friends,Conference
297,graduation ceremony,7/16/2024,9,online,private,Birthday Party
298,baby shower,6/22/2024,17,online,public,Wedding
299,anniversary celebration,2/28/2024,15,hybrid,custom,Festival
300,anniversary celebration,6/5/2024,3,hybrid,custom,Concert
301,graduation ceremony,11/13/2024,18,offline,public,Conference
302,baby shower,11/11/2024,15,onsite,custom,Wedding
303,anniversary celebration,4/3/2024,11,onsite,friends,Wedding
304,birthday party,11/6/2024,18,offline,public,Birthday Party
305,wedding,9/22/2024,11,hybrid,public,Festival
306,graduation ceremony,6/20/2024,6,online,public,Birthday Party
307,graduation ceremony,3/31/2024,23,hybrid,custom,Birthday Party
308,birthday party,4/2/2024,5,online,private,Concert
309,baby shower,7/9/2024,15,offline,friends,Festival
310,baby shower,4/11/2024,3,hybrid,custom,Festival
311,baby shower,12/1/2024,6,onsite,friends,Wedding
312,anniversary celebration,10/21/2024,5,hybrid,public,Birthday Party
313,birthday party,9/7/2024,6,offline,public,Concert
314,baby shower,6/19/2024,12,online,private,Festival
315,baby shower,3/31/2024,10,onsite,friends,Birthday Party
316,anniversary celebration,10/8/2024,4,onsite,friends,Festival
317,wedding,9/11/2024,20,onsite,public,Birthday Party
318,wedding,3/20/2024,13,hybrid,private,Birthday Party
319,birthday party,9/13/2024,7,offline,public,Festival
320,anniversary celebration,5/19/2024,11,offline,friends,Concert
321,anniversary celebration,7/20/2024,4,offline,friends,Conference
322,wedding,7/3/2024,17,offline,private,Wedding
323,anniversary celebration,5/1/2024,20,onsite,custom,Festival
324,baby shower,2/1/2025,6,online,friends,Wedding
325,baby shower,10/20/2024,10,offline,friends,Conference
326,graduation ceremony,3/30/2024,9,onsite,private,Birthday Party
327,graduation ceremony,2/29/2024,4,online,private,Concert
328,baby shower,6/2/2024,2,online,private,Wedding
329,birthday party,6/5/2024,7,offline,friends,Concert
330,anniversary celebration,7/8/2024,21,online,private,Festival
331,wedding,3/6/2024,16,online,friends,Conference
332,birthday party,5/3/2024,2,onsite,friends,Wedding
333,wedding,2/2/2025,18,onsite,private,Birthday Party
334,birthday party,3/20/2024,17,onsite,friends,Concert
335,anniversary celebration,1/17/2025,6,onsite,public,Concert
336,anniversary celebration,8/11/2024,16,hybrid,custom,Conference
337,graduation ceremony,11/18/2024,2,online,friends,Conference
338,wedding,9/25/2024,7,online,private,Concert
339,graduation ceremony,2/27/2024,19,online,public,Birthday Party
340,birthday party,9/25/2024,21,onsite,private,Festival
341,baby shower,10/19/2024,8,hybrid,public,Concert
342,birthday party,2/1/2025,10,hybrid,custom,Wedding
343,wedding,10/28/2024,7,hybrid,public,Festival
344,baby shower,3/6/2024,3,online,private,Birthday Party
345,baby shower,9/29/2024,15,offline,custom,Conference
346,anniversary celebration,8/15/2024,2,onsite,public,Wedding
347,baby shower,3/11/2024,9,hybrid,friends,Concert
348,birthday party,12/4/2024,4,offline,private,Concert
349,baby shower,1/13/2025,17,offline,friends,Festival
350,birthday party,2/5/2025,0,onsite,public,Festival
351,wedding,9/25/2024,15,hybrid,custom,Festival
352,wedding,4/8/2024,15,online,friends,Wedding
353,birthday party,5/21/2024,21,onsite,private,Concert
354,birthday party,8/30/2024,16,offline,friends,Festival
355,graduation ceremony,3/24/2024,11,onsite,friends,Birthday Party
356,graduation ceremony,7/27/2024,21,online,public,Festival
357,graduation ceremony,3/28/2024,21,onsite,friends,Concert
358,anniversary celebration,5/23/2024,19,onsite,friends,Concert
359,anniversary celebration,10/11/2024,1,hybrid,friends,Festival
360,birthday party,6/27/2024,6,offline,private,Birthday Party
361,graduation ceremony,1/19/2025,13,hybrid,public,Birthday Party
362,birthday party,11/21/2024,12,online,private,Festival
363,birthday party,7/7/2024,6,offline,public,Birthday Party
364,birthday party,11/19/2024,22,hybrid,public,Conference
365,wedding,8/28/2024,8,online,public,Festival
366,anniversary celebration,2/17/2025,8,hybrid,custom,Birthday Party
367,wedding,12/18/2024,2,online,friends,Festival
368,graduation ceremony,8/31/2024,6,onsite,custom,Concert
369,anniversary celebration,1/8/2025,1,online,friends,Birthday Party
370,baby shower,12/9/2024,14,hybrid,public,Festival
371,baby shower,12/29/2024,6,offline,private,Wedding
372,birthday party,1/6/2025,6,onsite,private,Wedding
373,graduation ceremony,11/18/2024,4,hybrid,public,Wedding
374,birthday party,10/16/2024,15,hybrid,private,Birthday Party
375,birthday party,3/17/2024,4,offline,friends,Festival
376,anniversary celebration,9/13/2024,18,offline,private,Festival
377,graduation ceremony,1/23/2025,10,online,custom,Wedding
378,birthday party,7/4/2024,4,offline,friends,Birthday Party
379,anniversary celebration,10/11/2024,22,offline,public,Festival
380,birthday party,4/24/2024,3,offline,friends,Festival
381,baby shower,7/28/2024,2,online,friends,Conference
382,graduation ceremony,11/2/2024,22,hybrid,custom,Birthday Party
383,wedding,6/1/2024,19,hybrid,custom,Concert
384,wedding,5/16/2024,18,hybrid,custom,Birthday Party
385,anniversary celebration,6/12/2024,7,online,public,Wedding
386,baby shower,4/9/2024,16,onsite,private,Festival
387,wedding,6/4/2024,15,offline,private,Conference
388,birthday party,2/7/2025,22,offline,friends,Concert
389,birthday party,5/24/2024,8,online,private,Conference
390,baby shower,6/8/2024,10,offline,custom,Conference
391,anniversary celebration,2/3/2025,15,offline,friends,Concert
392,wedding,12/18/2024,10,onsite,public,Conference
393,baby shower,4/4/2024,18,offline,public,Wedding
394,birthday party,8/15/2024,9,offline,custom,Festival
395,baby shower,11/20/2024,8,onsite,public,Festival
396,wedding,5/24/2024,1,offline,public,Wedding
397,graduation ceremony,10/2/2024,12,onsite,friends,Concert
398,birthday party,12/18/2024,19,online,friends,Festival
399,birthday party,7/14/2024,0,onsite,private,Wedding
400,anniversary celebration,6/30/2024,11,offline,private,Festival
401,baby shower,12/8/2024,7,online,custom,Birthday Party
402,graduation ceremony,10/6/2024,18,online,private,Birthday Party
403,anniversary celebration,9/1/2024,17,online,public,Concert
404,wedding,3/29/2024,11,offline,custom,Conference
405,baby shower,8/9/2024,2,offline,public,Wedding
406,graduation ceremony,8/28/2024,9,onsite,custom,Wedding
407,baby shower,7/31/2024,11,online,friends,Conference
408,anniversary celebration,11/18/2024,11,online,custom,Concert
409,wedding,7/25/2024,0,online,private,Conference
410,birthday party,10/4/2024,18,hybrid,friends,Birthday Party
411,wedding,10/11/2024,0,onsite,custom,Birthday Party
412,anniversary celebration,2/27/2024,22,offline,private,Birthday Party
413,birthday party,4/18/2024,21,hybrid,private,Concert
414,anniversary celebration,10/19/2024,10,online,custom,Wedding
415,baby shower,5/7/2024,22,onsite,public,Festival
416,wedding,11/30/2024,20,onsite,friends,Birthday Party
417,baby shower,5/24/2024,4,online,public,Wedding
418,anniversary celebration,2/20/2025,7,offline,custom,Festival
419,anniversary celebration,11/24/2024,1,offline,friends,Concert
420,wedding,9/7/2024,22,hybrid,friends,Concert
421,anniversary celebration,9/1/2024,6,online,private,Festival
422,birthday party,9/19/2024,7,onsite,custom,Festival
423,graduation ceremony,2/2/2025,7,onsite,public,Concert
424,anniversary celebration,12/31/2024,1,onsite,private,Birthday Party
425,graduation ceremony,12/16/2024,3,online,custom,Birthday Party
426,birthday party,2/19/2025,19,hybrid,friends,Birthday Party
427,graduation ceremony,11/18/2024,3,offline,friends,Conference
428,birthday party,6/11/2024,0,offline,private,Wedding
429,anniversary celebration,5/22/2024,20,onsite,public,Festival
430,anniversary celebration,7/14/2024,6,online,private,Festival
431,birthday party,3/4/2024,15,hybrid,private,Conference
432,anniversary celebration,11/23/2024,12,offline,private,Concert
433,baby shower,5/30/2024,17,hybrid,private,Wedding
434,baby shower,5/19/2024,12,onsite,friends,Wedding
435,wedding,1/31/2025,14,onsite,custom,Birthday Party
436,baby shower,4/17/2024,11,hybrid,public,Wedding
437,baby shower,12/7/2024,20,offline,public,Festival
438,wedding,5/25/2024,23,onsite,private,Festival
439,graduation ceremony,11/28/2024,14,offline,custom,Festival
440,birthday party,6/21/2024,11,hybrid,private,Birthday Party
441,anniversary celebration,3/8/2024,1,online,private,Wedding
442,birthday party,8/7/2024,15,hybrid,custom,Birthday Party
443,baby shower,1/31/2025,23,online,public,Festival
444,anniversary celebration,8/8/2024,18,onsite,friends,Festival
445,baby shower,7/18/2024,0,onsite,friends,Concert
446,birthday party,9/14/2024,10,online,private,Wedding
447,graduation ceremony,4/29/2024,20,onsite,friends,Festival
448,birthday party,6/16/2024,4,onsite,private,Wedding
449,graduation ceremony,3/16/2024,9,online,public,Birthday Party
450,baby shower,5/25/2024,19,onsite,private,Festival
451,baby shower,4/26/2024,10,onsite,private,Wedding
452,birthday party,4/23/2024,18,hybrid,private,Concert
453,birthday party,6/29/2024,5,online,custom,Conference
454,anniversary celebration,8/13/2024,22,hybrid,custom,Festival
455,graduation ceremony,12/13/2024,8,onsite,custom,Concert
456,anniversary celebration,10/3/2024,14,hybrid,friends,Birthday Party
457,birthday party,12/12/2024,14,onsite,custom,Festival
458,baby shower,1/7/2025,20,offline,friends,Wedding
459,baby shower,2/14/2025,22,onsite,custom,Conference
460,wedding,6/19/2024,6,online,public,Wedding
461,anniversary celebration,5/20/2024,11,offline,friends,Wedding
462,anniversary celebration,10/5/2024,6,hybrid,private,Conference
463,birthday party,12/24/2024,21,offline,custom,Concert
464,wedding,8/15/2024,4,online,friends,Wedding
465,graduation ceremony,10/4/2024,3,offline,public,Concert
466,graduation ceremony,2/4/2025,21,onsite,friends,Festival
467,anniversary celebration,11/11/2024,6,hybrid,private,Concert
468,baby shower,2/27/2024,5,hybrid,friends,Conference
469,graduation ceremony,10/27/2024,17,onsite,custom,Wedding
470,baby shower,6/28/2024,10,offline,friends,Concert
471,wedding,9/3/2024,22,onsite,custom,Birthday Party
472,birthday party,5/17/2024,20,offline,private,Conference
473,wedding,10/14/2024,4,onsite,custom,Conference
474,birthday party,2/14/2025,22,hybrid,custom,Concert
475,birthday party,11/5/2024,3,hybrid,friends,Conference
476,baby shower,9/28/2024,3,hybrid,custom,Conference
477,anniversary celebration,5/17/2024,14,offline,friends,Wedding
478,birthday party,5/31/2024,12,onsite,private,Festival
479,anniversary celebration,11/26/2024,5,offline,custom,Wedding
480,anniversary celebration,10/6/2024,18,hybrid,private,Wedding
481,anniversary celebration,9/9/2024,17,offline,private,Birthday Party
482,wedding,12/25/2024,17,online,friends,Wedding
483,birthday party,5/23/2024,7,onsite,private,Conference
484,baby shower,6/15/2024,14,offline,public,Wedding
485,graduation ceremony,3/10/2024,4,online,public,Festival
486,wedding,4/16/2024,2,hybrid,private,Wedding
487,anniversary celebration,9/30/2024,1,offline,public,Concert
488,birthday party,3/20/2024,1,online,private,Conference
489,graduation ceremony,12/19/2024,0,online,private,Conference
490,graduation ceremony,8/9/2024,3,online,friends,Festival
491,wedding,3/15/2024,9,onsite,custom,Wedding
492,birthday party,3/1/2024,22,hybrid,friends,Festival
493,graduation ceremony,11/27/2024,10,online,friends,Birthday Party
494,anniversary celebration,11/18/2024,4,hybrid,public,Concert
495,birthday party,1/27/2025,9,offline,custom,Birthday Party
496,baby shower,4/12/2024,12,onsite,custom,Birthday Party
497,wedding,5/15/2024,6,onsite,public,Wedding
498,graduation ceremony,7/9/2024,11,online,custom,Concert
